GAME_ID,TEAM_ID,HOME_WIN,PTS_rolling5,PTS_rolling10,FG3M_rolling5,FG3M_rolling10,REB_rolling5,REB_rolling10
22000186,1610612737,0,102.0,113.9,11.8,14.0,50.0,49.7
22000195,1610612737,0,102.2,110.7,10.6,13.1,48.6,49.2
22000205,1610612737,1,101.8,109.1,9.8,12.4,50.2,48.6
22000219,1610612737,1,104.6,107.1,10.6,11.5,48.4,48.9
22000236,1610612737,0,108.2,105.3,9.6,10.6,51.6,49.8
22000254,1610612737,0,109.0,105.5,9.2,10.5,51.0,50.5
22000268,1610612737,1,113.6,107.9,11.0,10.8,48.2,48.4
22000274,1610612737,0,114.0,107.9,11.8,10.8,47.8,49.0
22000290,1610612737,0,118.0,111.3,12.2,11.4,45.6,47.0
22000313,1610612737,0,116.6,112.4,12.8,11.2,42.4,47.0
22000330,1610612737,0,113.2,111.1,12.0,10.6,38.6,44.8
22000338,1610612737,0,113.4,113.5,12.0,11.5,42.4,45.3
22000356,1610612737,1,110.0,112.0,11.8,11.8,43.0,45.4
22000384,1610612737,0,110.8,114.4,13.0,12.6,44.2,44.9
22000397,1610612737,0,111.0,113.8,13.4,13.1,43.2,42.8
22000407,1610612737,0,114.0,113.6,13.4,12.7,44.2,41.4
22000422,1610612737,0,113.4,113.4,12.4,12.2,42.6,42.5
22000438,1610612737,0,117.6,113.8,12.8,12.3,41.2,42.1
22000451,1610612737,0,115.6,113.2,10.6,11.8,40.0,42.1
22000470,1610612737,1,114.0,112.5,9.8,11.6,39.8,41.5
22000480,1610612737,0,115.8,114.9,10.0,11.7,40.4,42.3
22000490,1610612737,1,115.4,114.4,11.0,11.7,41.0,41.8
22000510,1610612737,0,118.4,118.0,13.4,13.1,41.6,41.4
22000522,1610612737,0,115.8,115.7,14.2,12.4,45.0,42.5
22000538,1610612737,0,113.8,113.9,13.8,11.8,46.6,43.2
22000544,1610612737,0,108.0,111.9,14.0,12.0,47.2,43.8
22000570,1610612737,0,108.8,112.1,15.4,13.2,47.4,44.2
22000590,1610612737,1,107.6,113.0,13.8,13.6,49.0,45.3
22000597,1610612737,1,110.0,112.9,13.8,14.0,47.2,46.1
22000613,1610612737,0,110.2,112.0,14.6,14.2,47.2,46.9
22000626,1610612737,1,115.2,111.6,15.4,14.7,45.4,46.3
22000640,1610612737,0,115.4,112.1,13.4,14.4,47.0,47.2
22000660,1610612737,0,111.0,109.3,13.0,13.4,46.2,47.6
22000677,1610612737,0,108.8,109.4,13.0,13.4,46.8,47.0
22000692,1610612737,0,110.4,110.3,12.0,13.3,45.4,46.3
22000705,1610612737,0,111.4,113.3,11.2,13.3,46.8,46.1
